iter	RMSE
0	79042.93809
1	78392.15111
2	77847.21713
3	77364.62667
4	76963.13458
5	76623.31336
6	76332.85377
7	76093.72785
8	73740.76761
9	73545.75887
10	73376.75044
11	73218.11722
12	73089.09319
13	72984.85496
14	72891.26462
15	72802.03485
16	72713.97846
17	72644.55702
18	72579.73034
19	72528.31371
20	72466.04424
21	72408.74512
22	72335.09048
23	72295.61802
24	72250.1213
25	72210.20797
26	72162.87959
27	72131.94732
28	72102.11573
29	72072.15122
30	72042.7094
31	72009.84487
32	71973.61126
33	71952.3873
34	71930.98162
35	71910.75576
36	71885.99793
37	71848.67688
38	71803.91895
39	71777.55746
40	71758.24443
41	71712.14417
42	71706.16006
43	71684.38036
44	71662.26426
45	71646.11344
46	71637.92478
47	71619.26529
48	71609.59689
4949	73884.34645050	73865.24655151	73854.24395252	73838.16725353	73813.1613554	73802.69799
55	73788.01888
56	73779.30732
57	73767.23149
58	73740.56891
59	73718.28185
60	73698.20211
61	73686.95307
62	73678.17079
63	73654.82091
64	73641.48455
65	73626.24424
66	73615.18141
67	73601.03263
68	73583.58137
69	73576.99975
70	73561.49359
71	73544.66868
72	73528.75282
73	73522.38494
74	73511.17838
75	73501.73441
76	73494.64945
77	73488.86477
78	73475.1128
79	73452.7763
80	73436.04949
81	73419.28263
82	73413.30024
83	73402.88285
84	73393.53175
85	73370.10413
86	73355.32112
87	73327.05649
88	73316.48931
89	73304.61144
90	73298.18133
91	73286.30255
92	73279.78578
93	73272.13517
94	73260.46089
95	73253.59964
96	73237.94292
97	73234.56529
98	73215.69738
99	73200.98281
100	73169.75089
101	73164.50433
102	73130.29615
103	73125.13115
104	73106.87497
105	73089.75819
106	73071.97004
107	73060.33925
108	73054.9589
109	73047.48248
110	73041.87111
111	73033.88908
112	73024.40083
113	73011.49324
114	73001.95428
115	72986.7187
116	72977.69826
117	72965.69776
118	72960.8288
119	72945.62538
120	72913.79071
121	72910.13806
122	72905.40349
123	72877.85836
124	72873.29821
125	72841.79263
126	72819.93851
127	72811.03338
128	72805.50654
129	72789.54683
130	72773.87805
131	72760.43524
132	72750.17788
133	72742.41669
134	72726.60018
135	72716.67376
136	72707.48333
137	72690.75516
138	72673.85376
139	72661.54806
140	72630.73784
141	72622.96705
142	72608.12045
143	72602.98752
144	72582.71793
145	72561.97805
146	72531.71406
147	72525.37804
148	72512.46255
149	72501.03098
150	72486.25436
151	72471.41819
152	72451.22092
153	72440.65941
154	72422.06848
155	72407.13508
156	72397.33773
157	72376.39724
158	72360.06764
159	72352.56673
160	72333.84185
161	72314.39872
162	72303.2191
163	72296.78387
164	72268.78802
165	72240.01809
166	72230.19386
167	72217.7797
168	72203.21723
169	72199.56753
170	72193.02846
171	72183.70057
172	72170.39583
173	72152.51384
174	72138.0213
175	72103.85449
176	72070.48268
177	72054.49479
178	72038.1394
179	72022.92188
180	72008.15753
181	71994.12723
182	71980.98373
183	71950.52801
184	71938.0107
185	71890.74189
186	71878.82064
187	71871.25211
188	71859.67135
189	71848.66687
190	71834.83187
191	71824.47501
192	71818.52044
193	71808.08674
194	71800.00049
195	71781.86512
196	71771.14665
197	71767.52601
198	71764.09927
199	71747.43257
200	71744.18182
201	71741.21831
202	71738.28277
203	71733.44947
204	71730.65981
205	71728.01123
206	71725.49518
207	71712.21379
208	71692.87354
209	71678.92282
210	71669.05724
211	71660.1988
212	71657.80215
213	71648.36833
214	71646.08689
215	71634.03417
216	71625.06644
217	71616.49546
218	71602.83306
219	71588.3893
220	71559.52237
221	71551.40291
222	71546.38435
223	71537.24349
224	71531.094
225	71526.43805
226	71509.12798
227	71495.00138
228	71487.61292
229	71472.32315
230	71461.11313
231	71453.38139
232	71451.18714
233	71445.55297
234	71443.46291
235	71432.87785
236	71418.46239
237	71405.26927
238	71403.28147
239	71385.01505
240	71383.12093
241	71374.16392
242	71367.10478
243	71350.03354
244	71345.59599
245	71343.78585
246	71337.64235
247	71326.14153
248	71318.44868
249	71316.72973
250	71299.5112
251	71297.87275
252	71285.51012
253	71272.70558
254	71261.79628
255	71245.01051
256	71243.45056
