iter	Passed	Remaining
0	291	291319
1	389	194169
2	458	152386
3	536	133648
4	625	124442
5	720	119328
6	780	110741
7	834	103461
8	922	10161699	990	98032110	1221	109809
11	1291	106324
12	1351	102615
13	1411	99379
14	1471	96653
15	1530	94145
16	1593	92167
17	1665	90848
18	1732	89439
19	1794	87934
20	1853	86417
21	1903	84601
22	1960	83268
23	2003	81482
24	2074	80910
25	2137	80067
26	2201	79329
27	2258	78399
28	2312	77419
29	2356	76198
30	2399	74989
31	2444	73934
32	2485	72847
33	2522	71656
34	2561	70617
35	2600	69644
36	2639	68688
37	2680	67864
38	2725	67161
39	2771	66527
40	2817	65908
41	2864	65348
42	2905	64666
43	2951	6444	244	2996	6345	245	3039	6346	246	3074	6247	347	3119	6148	348	3156	6149	3141	59694
50	3197	59490
51	3248	59224
52	3303	59025
53	3351	58715
54	3403	58474
55	3455	58242
56	3512	58107
57	3571	57999
58	3625	57826
59	3681	57674
60	3730	57428
61	3777	57144
62	3824	56882
63	3866	56552
64	3918	56359
65	3962	56078
66	4011	55858
67	4055	55578
68	4106	55411
69	4151	55159
70	4199	54944
71	4241	54674
72	4284	54408
73	4334	54240
74	4385	54086
75	4434	53913
76	4483	53743
77	4538	53646
78	4585	53459
79	4631	53266
80	4686	53171
81	4734	53005
82	4785	52872
83	4854	52932
84	4918	52941
85	4978	52906
86	5035	52845
87	5097	52829
88	5156	52777
89	5213	52715
90	5261	52561
91	5314	52455
92	5363	52309
93	5410	52146
94	5463	52046
95	5511	51904
96	5558	51745
97	5603	51575
98	5651	51437
99	5697	51280
100	5740	51093
101	5786	50944
102	5833	50802
103	5880	50660
104	5931	50555
105	5983	50467
106	6041	50421
107	6086	50272
108	6126	50081
109	6169	49919
110	6211	49747
111	6252	49573
112	6301	49462
113	6343	49299
114	6392	49197
115	6451	49163
116	6496	49028
117	6546	48934
118	6597	48840
119	6645	48732
120	6686	48576
121	6744	48537
122	6794	48445
123	6844	48350
124	6898	48287
125	6954	48239
126	6999	48113
127	7041	47970
128	7084	47831
129	7129	47716
130	7175	47600
131	7221	47489
132	7278	47448
133	7325	47341
134	7371	47235
135	7418	47127
136	7466	47032
137	7510	46911
138	7561	46839
139	7611	46759
140	7662	46681
141	7706	46564
142	7758	46499
143	7804	46390
144	7856	46327
145	7907	46253
146	7953	46149
147	8003	46074
148	8048	45969
149	8096	45878
150	8136	45748
151	8181	45644
152	8226	45542
153	8274	45455
154	8326	45391
155	8373	45304
156	8429	45263
157	8478	45180
158	8531	45127
159	8584	45067
160	8634	44997
161	8687	44938
162	8730	44833
163	8781	44763
164	8828	44677
165	8877	44601
166	8926	44524
167	8972	44433
168	9017	44341
169	9059	44231
170	9103	44131
171	9151	44052
172	9202	43990
173	9245	43888
174	9288	43789
175	9333	43700
176	9385	43638
177	9433	43563
178	9485	43505
179	9533	43431
180	9578	43343
181	9620	43240
182	9664	43145
183	9713	43078
184	9759	42994
185	9800	42891
186	9843	42795
187	9904	42778
188	9951	42700
189	10004	42650
190	10055	42591
191	10099	42503
192	10143	42411
193	10188	42331
194	10231	42237
195	10276	42154
196	10320	42066
197	10362	41974
198	10407	41893
199	10454	41819
200	10496	41725
201	10540	41639
202	10581	41545
203	10621	41445
204	10666	41365
205	10705	41263
206	10746	41167
207	10788	41080
208	10831	40993
209	10880	40931
210	10919	40831
211	10967	40766
212	11013	40693
213	11061	40627
214	11106	40551
215	11159	40503
216	11207	40439
217	11256	40379
218	11305	40317
219	11351	40245
220	11398	40177
221	11439	40088
222	11494	40049
223	11536	39966
224	11584	39902
225	11634	39845
226	11685	39793
227	11733	39728
228	11781	39665
229	11839	39635
230	11890	39583
231	11943	39536
232	11996	39491
233	12040	39414
234	12087	39347
235	12137	39291
236	12184	39227
237	12235	39173
238	12282	39108
239	12331	39048
240	12379	38988
241	12429	38931
242	12476	38868
243	12541	38857
244	12609	38856
245	12663	38813
246	12727	38799
247	12786	38770
248	12853	38768
249	12894	38683
250	12945	38630
251	12985	38545
252	13034	38483
253	13082	38424
254	13129	38358
255	13174	38287
256	13214	38204
257	13256	38124
258	13298	38045
259	13345	37982
260	13393	37923
261	13441	37862
262	13492	37810
263	13548	37770
264	13598	37715
265	13640	37640
266	13686	37574
267	13747	37549
268	13818	37552
269	13872	37507
270	13940	37501
271	13997	37464
272	14058	37436
273	14102	37366
274	14147	37298
275	14188	37219
276	14233	37151
277	14273	37069
278	14309	36978
279	14351	36904
280	14388	36816
281	14428	36737
282	14467	36654
283	14511	36584
284	14550	36503
285	14592	36429
286	14629	36343
287	14667	36260
288	14707	36183
289	14745	36100
290	14785	36024
291	14827	35950
292	14869	35879
293	14908	35799
294	14944	35714
295	14983	35637
296	15032	35581
297	15074	35509
298	15120	35448
299	15171	35400
300	15222	35350
301	15268	35288
302	15311	35221
303	15359	35165
304	15398	35088
305	15445	35029
306	15494	34975
307	15539	34913
308	15581	34843
309	15632	34794
310	15674	34725
311	15721	34668
312	15766	34604
313	15812	34545
314	15859	34489
315	15910	34438
316	15953	34373
317	16003	34321
318	16047	34258
319	16095	34201
320	16137	34134
321	16179	34066
322	16223	34003
323	16264	33933
324	16304	33863
325	16346	33795
326	16387	33726
327	16427	33656
328	16464	33579
329	16507	33515
330	16549	33449
331	16597	33395
332	16639	33329
333	16683	33266
334	16727	33204
335	16766	33133
336	16808	33067
337	16845	32993
338	16888	32930
339	16925	32855
3340	17660	341293341	17712	340783342	17774	340453343	17834	340093344	17882	339503345	17931	33893
346	17977	33831
347	18026	33773
348	18071	33709
349	18116	33645
350	18170	33597
351	18225	33551
352	18277	33499
353	18328	33447
354	18376	33387
355	18423	33327
356	18468	33264
357	18510	33195
358	18558	33136
359	18601	33069
360	18649	33011
361	18700	32957
362	18750	32903
363	18794	32837
364	18843	32782
365	18885	32713
366	18931	32653
367	18979	32595
368	19024	32533
369	19074	32477
370	19124	32424
371	19168	32359
372	19212	32295
373	19259	32236
374	19312	32186
375	19357	32125
376	19404	32066
377	19445	31997
378	19490	31935
379	19553	31903
380	19608	31857
381	19664	31813
382	19715	31761
383	19764	31705
384	19815	31653
385	19863	31596
386	19913	31542
387	19962	31486
388	20011	31432
389	20060	31376
390	20109	31321
391	20156	31262
392	20207	31211
393	20259	31159
394	20312	31111
395	20361	31056
396	20406	30995
397	20458	30944
398	20507	30889
399	20552	30829
400	20595	30765
401	20642	30706
402	20692	30653
403	20735	30589
404	20783	30534
405	20832	30478
406	20882	30425
407	20929	30368
408	20969	30299
409	21015	30241
410	21060	30181
411	21111	30130
412	21167	30084
413	21227	30046
414	21289	30010
415	21352	29975
416	21408	29930
417	21450	29866
418	21502	29815
419	21549	29758
420	21600	29706
421	21645	29647
422	21685	29580
423	21733	29524
424	21777	29464
425	21824	29406
426	21873	29352
427	21918	29293
428	21967	29238
429	22016	29184
430	22058	29121
431	22101	29058
432	22148	29003
433	22196	28947
434	22242	28890
435	22290	28835
436	22340	28782
437	22383	28720
438	22429	28662
439	22477	28607
440	22519	28544
441	22564	28486
442	22609	28428
443	22660	28376
444	22711	28325
445	22765	28278
446	22816	28227
447	22879	28190
448	22931	28141
449	22986	28094
450	23045	28053
451	23098	28004
452	23146	27949
453	23195	27896
454	23239	27835
455	23297	27793
456	23348	27742
457	23400	27692
458	23445	27633
459	23487	27572
460	23537	27519
461	23579	27457
462	23625	27401
463	23669	27341
464	23716	27286
465	23766	27234
466	23811	27177
467	23856	27119
468	23900	27060
469	23951	27008
470	24004	26960
471	24060	26915
472	24105	26857
473	24154	26804
474	24200	26747
475	24245	26690
476	24293	26636
477	24334	26574
478	24383	26521
479	24433	26470
480	24486	26421
481	24531	26363
482	24579	26309
483	24626	26254
484	24670	26196
485	24714	26138
486	24760	26082
487	24810	26030
488	24852	25970
489	24898	25915
490	24951	25866
491	25002	25816
492	25054	25765
493	25104	25714
494	25152	25660
495	25199	25605
496	25245	25550
497	25295	25499
498	25345	25447
499	25390	25390
500	25448	25347
501	25500	25296
502	25548	25243
503	25600	25194
504	25646	25138
505	25693	25084
506	25736	25026
507	25782	24970
508	25831	24918
509	25879	24864
510	25943	24826
511	25993	24775
512	26043	24723
513	26088	24667
514	26129	24607
515	26169	24546
516	26213	24489
517	26265	24440
518	26318	24391
519	26367	24339
520	26418	24289
521	26470	24239
522	26517	24185
523	26566	24132
524	26630	24093
525	26687	24049
526	26745	24005
